video_id,title,description,channel,published
4LwpGaDKmZ8,FENTY BEAUTY by RIHANNA... Is It Jeffree Star Approved?!,HEY EVERYONE! Today I'm doing a review and first impressions on Rihanna's new makeup line FENTY BEAUTY! Last night I got ...,jeffreestar,2017-09-08T21:50:21Z
A50_AmSTdVE,Rihanna’s before &amp; after using THIS foundation is STUNNING 🤩 Fenty’s Soft’Lit Foundation shade 315✨,,Fenty Beauty By Rihanna,2024-08-07T21:49:02Z
GY90IvsNbvw,TOP 5 FENTY BEAUTY PRODUCTS,MENTIONED Gloss Bomb https://go.magik.ly/ml/1r2wh/ Bright Fix Concealer https://go.magik.ly/ml/1i7ze/ Eaze Drop Skin Tint ...,Morgan Turner,2023-02-14T22:00:07Z
3qCEhwoZ20M,Full Face of &quot;FENTY BEAUTY&quot;,"Hi everyone! Thank you so much for watching this full face of FENTY BEAUTY! I absolutely loved doing this look, don't forget to let ...",Makeup By Nikki La Rose,2023-09-02T13:00:02Z
N_zDcuX1Y54,RIHANNA: FENTY BEAUTY - Review + First Impressions,"Make sure you subscribe to my channel and hit the notification bell, so you don't miss any of my new videos ...",NikkieTutorials,2017-09-19T20:33:57Z
gy9BcjnlQL4,RARE BEAUTY VS FENTY BEAUTY! WHICH ONE IS BETTER?!,Primer Fenty Beauty Pro Filt'r Instant Retouch Primer https://go.magik.ly/ml/27x9r/ Rare Beauty Pore Diffusing Primer ...,Morgan Turner,2024-12-06T23:04:02Z
bH7M3vBcdcw,FENTY BEAUTY BY RIHANNA | FULL FACE + REVIEW | jasmeannnn,I've been dying to get my hands on the NEW Fenty Beauty by Rihanna! Here's a review/ first impressions on the line. If you want to ...,Jasmine Brown,2017-09-10T16:12:13Z
Mq9dxmh6JiE,FENTY BEAUTY by RIHANNA FULL REVIEW,SUBSCRIBE TO MY CHANNEL » http://bit.ly/JamesCharles for new videos! HI SISTERS! Fenty Beauty by Rihanna just launched ...,James Charles,2017-09-10T19:00:03Z
01HygSG2EQ8,Fenty Beauty&#39;s Gloss Bomb Stix Review #fentybeauty #makeup,Fenty Beauty's Gloss Bomb Stix: A Must-Have #fentybeauty #makeup #fok.,Lynda Hall,2025-05-27T22:20:53Z
1pDN5t8FJwI,THE BEST OF FENTY BEAUTY in 2024,USE CODE MORGAN30 to get 30% off Fenty Beauty from Sept18-19th https://go.magik.ly/ml/1zxxp/ Fenty Skin Fat Water ...,Morgan Turner,2024-09-18T16:15:00Z
2zISrf-7V3U,FENTY BEAUTY?! Hot OR Hmmm? | Jackie Aina,GIRL! Today's tutorial will be a review and demo of the new Fenty Beauty by Rihanna makeup line. Rihanna's new makeup line ...,Jackie Aina,2017-09-14T16:30:01Z
Iacnuap0Qik,NEW Fenty Skin Tinted Moisturizer…Press white play button for full video #fentyskin #fentybeauty,,Ariell Ash,2024-06-08T19:55:05Z
QlILZ37AG1A,RIHANNA WHAT’S GOOD?! FENTY BEAUTY HOLIDAY COLLECTION REVIEW,HEY EVERYONE... Welcome BACK to my channel! Today I'm testing out the brand new Fenty Beauty Chill Owt holiday collection!,jeffreestar,2018-10-19T17:59:02Z
vUBNzUC7IWg,FENTY BEAUTY Bright Fix Eye Brightener Concealer | Review + Demo,Thank you for watching my review and demo of the FENTY BEAUTY Bright Fix Eye Brightener Concealer! Let me know if you've ...,Natalie Camila,2021-05-17T02:02:28Z
NhCod-SUuAc,FENTY BEAUTY BY RIHANNA | BRUTALLY HONEST REVIEW + GIVEAWAY!,HEY GUYS! ABOUT TIME! Todays video is a full fenty beauty by rihanna BRUTALLY HONEST review! ANDDD of course we have ...,Manny Mua,2017-09-17T18:15:07Z
ghbYSjR6bOc,All Time Favorite FENTY Beauty Makeup,"Hi Friends, hope you enjoy this video! You can shop all these deals from Fenty Beauty through YouTube Shopping as well as the ...",Lisa J,2024-03-22T15:00:39Z
QxTlMn7RJ0U,Rihanna&#39;s Fall Makeup Must Have: Fenty Beauty&#39;s Soft&#39;Lit Naturally Luminous Longwear Foundation,"Summer may be over, but #Rihanna is reminding y'all to stay hydrated this #fall and #winter aka “ashy season.",Fenty Beauty By Rihanna,2024-09-10T21:07:39Z
TuJgnECuK28,Full Face of FENTY BEAUTY! All my Favorites &amp; Must Haves!,Hi Friends! Hope you enjoy this video! Get early access to Fenty Beauty Sale today and tomorrow with code: LISAJ30 for 30% off ...,Lisa J,2024-09-18T13:00:29Z
HK2TXqxS4gI,Fenty Eaze Drop VS STICK,,Christxiee,2023-08-20T15:16:09Z
BBcGPYDI7uE,New Fenty Beauty Gloss Bomb Lip Oils ✨ Swatches &amp; Review – Which Shade Is Your Favorite?#makeup,,ITZIAR BEAUTY,2025-04-26T17:00:18Z
zThJkLLce9Q,The ONLY thing I bought during the ​⁠@Sephora sale and I&#39;m not disappointed ​⁠@fentybeauty,This was the ONLY thing I bought during the Sephora sale   and I'm not disappointed Fenty Beauty ☺️ came out with their new ...,Monica Ravichandran,2025-04-18T18:09:23Z
X9COwXNkvJ4,30 Second Review: Fenty Beauty Eye Brightener #shorts #makeup #rihanna #beauty #fentybeauty,,Erin Dugan Jurchak,2021-05-24T01:59:14Z
AT4wCmSyIGg,ALL of the new High-Shimmer Fenty Gloss Bomb Stix! 🪩 ✨#fentybeauty #lipswatches #ultabeauty,,Jazzi Manalo,2025-03-06T15:59:48Z
kwh27qsQIQI,The viral fenty gloss bomb in fuschia flex 😍 #lipcombo #fenty #trendingmakeup,,Ashley Quiroz,2024-04-23T18:47:20Z
EkhOs-n27Mo,Fenty Skin Tinted Moisturizer Review: Worth it?,,Kristen Marie,2024-06-21T02:50:13Z
Ag1g6C-s4BU,Fenty Lip Oil Swatches,,Christxiee,2025-04-03T01:37:12Z
QH3kdc4qD7s,Fenty foundation stick review on DRY ACNE SKIN,holidayswithshorts.,Emma Aurelia,2023-12-12T17:00:33Z
9WG7s-wWpf4,FENTY &amp; RAREBEAUTY HUGE Makeup Collection😳,,Christxiee,2023-02-21T21:45:53Z
kE509qzKSoo,NEW ✨ @fentybeauty CHEEK SUEDE POWDER BLUSHES TRY ON REVIEW! #newmakeup2024,,TheMexicanBeauty,2024-08-09T02:20:09Z
cdLjYesxmIs,Fenty Beauty Soft Lit Luminous Foundation | Review and Wear Test | ARIELL ASH,Let me know what you think of this video in the comment section below. ✔️ And don't forget to subscribe to the Channel!,Ariell Ash,2024-04-30T01:54:52Z
OJnAs6h6LgA,FENTY BEAUTY by RIHANNA REVIEW,Hey babes! Hope you enjoyed this review of the new Fenty Beauty by Rihanna! I WAS SHOOOOK Y'ALL!!! What do you guys think ...,Nicol Concilio,2017-09-16T16:00:02Z
GTn6nmv3Wsg,Fenty beauty Hit or miss? Honest review✨,,Shreemayi Reddy,2024-05-15T09:21:29Z
UAb1tKAoXkM,Fenty Soft&#39;Lit Naturally Luminous Foundation #fentybeauty #foundation,SHOP FENTY Soft'Lit Naturally Luminous Hydrating Foundation 🛍️     SEPHORA - https://bit.ly/3QRZ68U FENTY BEAUTY ...,Kendall Alfred,2024-05-23T19:15:16Z
