video_id,title,description,channel,published,views,likes,comments
Veejw8WmwkU,No One Talks About this! Etude House Double Lasting Foundation {First Impression Review},Happy #FoundationFriday-trying the Etude House Double Lasting Foundation! New first impression video every Friday 6 pm PST!,Taylor Wynn,2019-11-16T02:00:01Z,123825,6357.0,462.0
91sWAXvXwpk,ETUDE DOUBLE LASTING FOUNDATION | Dry Skin Review,"Today I'm checking out the Etude Double Lasting Foundation in shade Neutral Beige. See how it applies and wears on dry, ...",Geek Out of Water,2023-11-21T02:00:04Z,5586,385.0,74.0
asyW-jGTuco,NEW Etude House Double Lasting SERUM Foundation Review + Original Comparison,"WOO! Today I review the new Etude House Double Lasting Serum Foundation, which is new for Fall / Winter 2018! I love the ...",TheBeautyBreakdown,2018-09-20T20:15:00Z,154208,2002.0,107.0
E8pdW3hIH9c,NEW Etude House Double Lasting Foundation Review!,Hello my cupcakes!! Hope you guys enjoyed my review! Let me know in the comments what videos you guys would like to watch ...,Christina Suh,2018-04-06T00:54:57Z,72528,816.0,33.0
s6vbD8-RFJU,ETUDE HOUSE DOUBLE LASTING FOUNDATION BEIGE VS ESTEE LAUDER | FIRST IMPRESSION + WEAR TEST,etudehousereview #koreanskincare #foundationdupe Subscribe for 3 new videos every single week Hey ATFB Fam! I hope you ...,Melissa Rivera,2020-07-17T21:45:01Z,2766,42.0,6.0
VtqvC4bUZ2E,Etude House - Double Lasting Foundation - Review and First Impression,etudehouse #doublelastingfoundation #etudehousedoublelasting Finally reviewing this highly talked about foundation from Etude ...,im_jennytwong,2017-10-17T10:06:49Z,4819,34.0,17.0
iyRk0x_0wy8,Review: Etude House Double Lasting Foundation and Swatches,If only this foundation fitted my skin tone better! :C Check out more photos here: ...,Becca M,2016-04-12T23:30:01Z,25434,153.0,22.0
gTDvypq3Yik,Etude House vs. Dr Jart+ Foundation Comparison | HIKOCO,"Please tell us more about HIKOCO stocked Foundations!” Ask and it shall be answered ✊   For our Beauties far far away, we ...",HIKOCO 하이코코,2019-10-22T05:00:04Z,7481,95.0,14.0
I6hAz4K-QKg,Etude House Double Lasting Foundation | Buy or Bye-Bye?,"Hey everyone! If you enjoyed this video, please LIKE and SUBSCRIBE! Follow me on Instagram! @LaurenLex Products ...",Lauren Lex,2018-10-17T17:00:03Z,3776,40.0,4.0
mMp2d6iN07A,ETUDE house double lasting foundation,,YANDEEJADE,2023-07-18T07:46:36Z,4936,77.0,1.0
Ke0R6-DYvjM,REVIEW: Etude House Double Lasting Foundation | sera,"FOR DETAILS ↓ Just before the year ends, I have a few videos that I want to be posted so just bear with the boring reviews for ...",serafourtwo,2016-12-12T13:00:01Z,2728,23.0,9.0
-NFaNYKBOvw,NEW! Etude House Double Lasting Foundation Review | Liah Yoo,I tried the new foundation from Etude House that's buzzing online! ❤ SUBSCRIBE TO LIAH : http://bit.ly/subscribetoliah ...,Liah Yoo,2016-04-20T05:15:04Z,154187,1494.0,153.0
DEZQizZ6MeU,Etude Double Lasting VEGAN Cover Foundation all shades swatch / maskproof / durability,"Hey guys, it's me Aego! Today I brought with me Etude's NEW Foundation which is said to be a 24-hour cover lasting foundation ...",JOOHKY,2022-06-25T10:00:08Z,8001,167.0,24.0
VsV0fJxyZA8,Etude Double Lasting Foundation Neutral Vanilla 💓,,oiilive,2023-07-02T12:16:34Z,2481,35.0,0.0
