video_id,title,description,channel,published,views,likes,comments
Yh7HRIgvQZU,"Skip This Skin Tint, Unless... #glossier #skintints",,Makeup By Nikki La Rose,2024-07-26T15:41:44Z,30691,1267.0,27.0
fiJDX4VT-1k,Glossier Perfecting Skin Tint &amp; Stretch Concealer {G9} | Review + Wear Test,"Thank you for watching my review of the Glossier Perfecting Skin Tint and Stretch Concealer, hope to see you again! LET'S BE ...",Jessica Alice,2022-06-14T09:00:19Z,30253,374.0,11.0
AEX6H1hGYyE,FULL FACE OF GLOSSIER MAKEUP 💕,,Yana,2022-12-03T19:03:29Z,221182,20338.0,99.0
StaJPsw2W8A,does glossier’s perfecting skin tint give ANY COVERAGE❔(PART 1),Need some one on one skincare help? Book a virtual skin consultation with me! https://www.skinfluencedbypamyla.com.,pamyla’s world 🪐,2021-09-14T17:35:00Z,79354,3273.0,27.0
xhth93x7Qec,BEST Makeup Products for No Makeup Makeup Look,naturalmakeup #makeuptips #nomakeupmakeup ✨ Click to subscribe to the channel! :https://bit.ly/3iZeRrl ✨ Shop My Favorite ...,Haley Kim,2023-07-16T04:46:51Z,189543,5002.0,97.0
EcDCSi2xM0k,Glossier Perfecting Skin Tint | Product Review,It wouldn't be a Sunday without a Glossier review! Time for one of my top picks to take centre stage. If you love the skin you're in ...,Matilda on Video,2017-10-07T22:30:00Z,50586,1154.0,83.0
3tWc8pmS4Cg,MAC FACE &amp; BODY vs GLOSSIER SKIN TINT | Which is the best natural foundation? Demo &amp; Review,"In today's video am comparing Mac Face and body with Glossier Skin perfecting Tint. Both of these are skin-like, natural ...",Blushstories ,2020-11-24T12:24:34Z,23906,361.0,45.0
aKvfiWaUoEY,"HERE&#39;S A HINT, USE A SKIN TINT!","Here's a skin tint to give you YOUR SKIN, but BETTER! Products Mentioned in this video: Glossier Perfecting Skin Tint ...",GLAMZILLA,2022-05-28T19:00:00Z,714912,53832.0,478.0
oBB2QVbLIk4,GLOSSIER PERFECTING SKIN TINT 😍🤍 #cleangirllook #grwmmakeup #grwm #makeuproutine #skintint,,Poppy Grace,2024-08-19T18:10:52Z,7465,105.0,3.0
AOD3Brc3CAE,I *FINALLY* tried Glossier (Skin Tint &amp; Stretch Concealer Review &amp; Demo) | Kay Forbey,"In this video, I give my thoughts on the perfecting skin tint and the stretch concealer. I also demo the products, but if you want to ...",Kay Forbey,2020-05-09T21:49:12Z,1475,31.0,2.0
U2toXcRForY,GLOSSIER skin tint review #shorts #makeup #blackgirlmakeup #makeupreview #skintint,How to do Instagram makeup perfect for photos. Smooth base makeup. #instagrammakeup #smoothbasemakeup ...,Aisebruh,2025-03-26T22:00:19Z,665,11.0,0.0
4xb-HuHQJzU,Glossier Skin Tint Review | Olive Skin Test,Is Glossier's Skin Tint Olive Skin friendly? Let's find out! Shade: G8 Medium Neutral Cloud Paint: Storm Let's be friends: Instagram- ...,Olive Embrace,2020-04-09T05:55:14Z,2210,37.0,7.0
