video_id,title,description,channel,published,views,likes,comments
cmCwHQ3fNyg,Laneige Lip Sleeping Mask vs Vaseline rosy lips ✨,FOLLOW @lobrods.,Lora,2024-01-21T00:07:24Z,750799,29165.0,215.0
3Pu2fJAIjxI,LANEIGE LIP SLEEPING MASK | 5 DAY TRY ON REVIEW + HOW TO MAXIMIZE EFFECT,"LANEIGE LIP SLEEPING MASK Get ready to say goodbye to dry, cracked lips with this amazing lip mask! Watch as dead skin is ...",Charisse Daily,2023-12-15T17:00:06Z,15533,126.0,7.0
VtiRi4rZJUI,Laneige lip Mask Review - Is Laneige Lip Mask Worth The Hype? 5 Cruelty Free Alternatives,Is Laneige Lip Mask Worth The Hype? 5 Cruelty Free Alternatives Products Mentioned: 04:52 Glow Recipe Plum Plump ...,Cassandra Bankson,2024-01-08T16:00:24Z,55040,1894.0,325.0
BSCDb_sWeTc,Rating things I apply Lip Sleeping Mask with... #laneige #review,Which ones have you tried? Apply Lip Sleeping Mask before you go to bed and wake up with soft supple lips! Available in 4 ...,LANEIGE US,2024-05-10T14:00:10Z,3559195,111722.0,524.0
t4TVLc25ZbI,Laneige Lip Sleeping Mask Review,This mask is the perfect way to fix your cracked or chapped lips! ------------------------------------------------------- Follow Brit+Co for all ...,Brit + Co,2024-07-26T18:03:38Z,47661,712.0,32.0
nlRTkjwAs5Y,"How To Use Lip Mask, Laneige Lip Sleeping Mask, Lip, Makeup Review, Does Laneige Lip Mask Work","How To Use Lip Mask, Laneige Lip Sleeping Mask, Lip, Makeup Review, Does Laneige Lip Mask Work ​   Product Link: ...",Yohanes Card Maker,2021-12-02T17:00:36Z,469390,9319.0,150.0
PN7fadnbf1Q,We tried the Laneige Lip Sleeping Mask celebrities love: is it worth the hype? | Heart to Cart,SHOP LANEIGE LIP SLEEPING MASK NOW: https://amzn.to/3NodMuh This viral beauty product's got great word of mouth — but ...,Page Six,2024-03-01T23:21:09Z,2851,22.0,7.0
eTbHJw8_LG8,I Used Laneige Lip Sleeping Mask For 7 Nights ✨(Honest Review!).  #laneige #viralmakeup #shorts,,Irina Pushkareva,2024-03-16T11:13:33Z,167125,5955.0,135.0
LO9SlQYxTnM,HOW MANY SCOOPS IN A MINI LANEIGE LIP SLEEPING MASK?!,Mini Lip Sleeping Mask is still available in the Heavenly Hydration set!! Shop this limited edition holiday set before it's gone for the ...,LANEIGE US,2023-12-06T20:00:09Z,4115168,145353.0,1648.0
1768TvwFb60,WE GOT TO MAKE OUR OWN CUSTOM @LANEIGE_US lip sleeping masks in Korea?! 🥹✨,,Monica Ravichandran,2024-10-24T16:33:48Z,3124477,188059.0,258.0
okW5l3Ft6mQ,SEPHORA SHOPPING HUNT FOR LANEIGE WATERMELON LIP SLEEPING MASK 🍉,,Theskimaskbarbie,2024-07-12T16:33:13Z,475359,17238.0,101.0
inBVGQX6nCs,MIXING OUR FAVE LANEIGE LIP SLEEPING MASKS 🍫🤍 | BEAUTY BAY,,BEAUTY BAY,2023-06-03T11:00:24Z,9691715,371384.0,2471.0
