video_id,title,description,channel,published,views,likes,comments
ajp9Kk4i8y0,Sulwhasoo First Care Activating Serum with Susan Yara,Learn all about this iconic prep step with Mixed Makeup founder Susan Yara.,Sulwhasoo US,2022-01-24T19:27:42Z,38401,196.0,16.0
K6pE58aRf9k,A skincare staple! Sulwhasoo First Care Activating Serum review!,Buy the Sulwhasoo First Care Activating Serum here (commission earning Amazon affiliate link): https://urlgeni.us/amazon/xAFwu ...,Kayla Amme,2024-06-05T04:37:53Z,422,2.0,0.0
Qkx1RI_afdM,Sulwhasoo First Care Activating Serum,"Your first step to radiant skin, reinvented! Sulwhasoo's iconic bestselling serum has undergone a reformulation as the brand ...",Sulwhasoo US,2021-02-02T00:10:26Z,15295,56.0,7.0
pjJkynYQiTQ,5 things I learned at Sulwhasoo&#39;s Masterclass,,Megan 🤍,2023-10-07T17:29:37Z,15029,454.0,9.0
ttkBTC6N9ho,Sulwhasoo First Care Activating Serum,Should I open my limited edition Sulwhasoo bottle?! It was released early 2023 for the Lunar New Year (Rabbit) or should it ...,Glow With Gregg,2023-08-16T22:00:28Z,7632,63.0,14.0
m0Uwzr5YfzE,Sulwhasoo First Care Activating Serum | Review #sulwhasoo #skincare #review #beauty #musthaves #demo,,Anushka Tanwar,2024-05-19T11:50:41Z,3358,45.0,0.0
yDFd2EBMGTw,SULWHASOO: My Updated Thoughts on this ~Luxury~ Korean Skin Care Brand!,Timestamps/Affiliate Links Below Where to Purchase: Sephora - https://howl.me/cmFY5Ubcxmg Stylevana ...,AliceintheRabbitHole,2024-07-15T23:00:34Z,26723,777.0,132.0
NFoP7PSKPKs,SULWHASOO&#39;S BEST SELLER GOT AN UPGRADE! IS IT WORTH IT?👀,The 6th generation of Sulwhasoo's First Care Activating Serum is here!!! Check this new upgrade with me~! I am in love with the ...,EuniUnni,2023-04-12T02:00:11Z,35454,754.0,13.0
SZf2DzvZyTw,Elevate your glow with our First Care Activating Serum VI – a timeless #koreanskincare essential.,"Brighten your skin, reduce visible fine lines, and unveil a smoother, more radiant complexion. Discover the power of ginseng ...",Sulwhasoo US,2025-02-07T01:00:22Z,3122,65.0,0.0
SvM4OdeWJdU,Discover the magic of First Care Activating Serum VI!✨ #Sulwhasoo #FirstCareActivatingSerum #kbeauty,A lightweight yet powerful serum that is rich in antioxidants and Ginseng to visibly improve your skin with repeated use: 94% ...,Sulwhasoo India Official,2024-09-05T10:17:59Z,4717,57.0,0.0
BuBl1dU7_54,GLASS SKIN WITHOUT MAKEUP? | Sulwhasoo First Care Activating Serum,Today I'm doing a skincare review of a product that is giving me glass skin without makeup. No joke. I've been using it for 20 days ...,Brazilian Girl Channel,2018-06-26T02:07:06Z,11722,135.0,31.0
2k3SVs6P-sA,Sulwhasoo First Care Activating Serum | THE ROUTINE,What's the first thing you do every day? Always start with the best: Sulwhasoo First Care Activating Serum ⠀ #Sulwhasoo ...,Sulwhasoo US,2022-10-13T13:49:22Z,2443,16.0,0.0
MqhScLfAcTc,Sulwhasoo First Care Activating Serum Review 💚 Balancing Water &amp; Vitalizing Sleeping Mask Review,"Not sponsored* Sharing my review on Sulwhasoo first care activating serum. These are Luxury Kbeauty Products, I have been ...",Shelley Nayak,2021-02-24T15:18:16Z,13092,200.0,51.0
At57orEE_yM,Our best-selling First Care Activating Serum just got a makeover✨   #skinbarrier #glassskin,"Now powered by ginseng, it strengthens the skin's barrier, while also addressing premature visible signs of aging. The texture of ...",Sulwhasoo US,2023-09-16T04:00:09Z,31538,114.0,1.0
i1D7DzukdRc,"Sulwhasoo First Care Activating Serum Review, Hydrating And Long Lasting Serum!","Thanks for watching, subscribe & share! ✓ Current Price & More Info (US): https://amzn.to/48IULLV ✓ International Shop Link: ...",Opiniones,2024-03-10T01:15:02Z,301,1.0,0.0
2Py6AWWf3fg,Sulwhasoo First Care Activating Serum VI #skincare #koreanskincare,,Yoli,2024-03-22T12:00:05Z,1659,9.0,1.0
xSiiXtmvKl0,Sulwhasoo #1 Anti-aging First Care Activating Serum and Sulwhasoo Bestselling Gentle Cleansing Foam,High End Korean Skincare Korean Brand Sulwhasoo #1 Anti-aging First Activating Serum and Sulwhasoo Gentle Foam Cleanser ...,Elle Diaries Channel,2022-10-11T18:06:56Z,105,2.0,0.0
rRneRYuvgC8,Sulwhasoo Anti-Aging First Care Activating Serum - Sephora Review Stats,The statistics generated from Sephora user review for Sulwhasoo Anti-Aging First Care Activating Serum 9 out of 10 say it makes ...,Skin Care Reviews,2023-12-19T22:03:12Z,76,1.0,0.0
GoveLkFOktI,Everyone LOVES First Care Activating Serum,Why do you love Sulwhasoo First Care Activating Serum?,Sulwhasoo US,2021-08-02T21:47:19Z,377,6.0,1.0
A1-s0KNoIY8,Sulwhasoo First Care Activating Serum Luxury Premium Kbeauty #luxuryskincare,"Luxury premium Kbeauty Sulwhasoo. This First Care Activating Serum is backed by 23 years of research and newest technology, ...",Shimm Quest,2023-02-26T20:43:06Z,639,9.0,0.0
z7q6zzUklDs,Glow With Ava &amp; Sulwhasoo&#39;s First Care Activating Serum,Watch and learn all about First Care Activating Serum with Glow With Ava!,Sulwhasoo US,2021-08-02T19:58:55Z,3158,19.0,2.0
qv1UuyiSZHU,First step in skincare routine - Sulwhasoo First Care Activating Serum,I think @SulwhasooOfficial First Care Activating Serum does not need an introduction. This was one of the first luxury Asian ...,Juliya Yasmin,2023-03-30T18:20:03Z,2036,24.0,0.0
qpMXIg5LBvg,Sulwhasoo First Care Activating Serum,Rubbing in some liquid gold #sulwhasoo First Care Activating Serum onto my precious face #skincare #menskincare ...,Glow With Gregg,2023-01-24T20:08:17Z,2595,40.0,3.0
7gS-l6FZxe4,Is The Sulwhasoo First Care Activating Serum Really Worth The Price? | Shopee TV,Should you splurge on the Sulwhasoo First Care Activating Serum? Find out from our Sulwhasoo review what we feel about this ...,Shopee Singapore,2021-03-31T16:00:09Z,5612,15.0,0.0
7_0eZUE6-1Q,"Rating &amp; Review Sulwhasoo skincare ( detail in description , click 3 dots )",REVIEW & Rating | in caption below - ✨SULWHASOO GENTLE CLEANING FOAM - Love this cleanser for my dry sensitive acne ...,Shelley Nayak,2023-06-23T13:30:03Z,34467,500.0,17.0
G-FuOHNl-UE,#SULWHASOO First Care Activating Serum #goldenserum #bestkoreanserum *press sample,,Minimalbelle,2022-04-10T23:30:59Z,2089,42.0,0.0
a127nM7Jkgo,Sulwhasoo first care serum - my favourite first step in skincare routine,Shop Sulwhasoo First Care Activating serum https://shopmy.us/collections/122905.,Juliya Yasmin,2023-02-20T05:06:31Z,824,20.0,0.0
fWCDA9XzsqI,Perfect Your Korean Beauty Skincare Routine Ft. Sulwhasoo | Sephora,Learn how to build the perfect Korean beauty skincare routine with Sulwhasoo and their iconic First Care Activating Serum.,Sephora,2021-12-15T14:00:31Z,41368,533.0,11.0
XPEs8ggKtGQ,✨6 BENEFITS IN ONE BOTTLE?!!?✨ Sulwhasoo First Care Activating Serum First Impressions (Ipsy),Hey friends!! Welcome back to our channel! Today we have a new skincare first impressions/review. This is the Sulwhasoo First ...,Everyday Thrifty Living,2022-11-07T17:00:18Z,59,7.0,6.0
