video_id,title,description,channel,published,views,likes,comments
TmRIU_90sFE,"NEW Shape Tape RADIANT Concealer | Demo, Mini Wear Test + Comparison to Shape Tape Ultra Creamy",I make things! Go take a look at my Etsy store over at https://www.etsy.com/shop/JustForFunStyle Today we are looking at a brand ...,Makeup.Just.For.Fun,2023-06-23T16:29:02Z,18886,372.0,28.0
FdpWOlb1zVA,$31 Tarte Shape Tape vs. $7 Elf Concealer (Review &amp; Wear Test),"youtubeshorts #shorts Tarte Shape Tape is a cult classic for a reason: it offers full coverage, blends beautifully and lasts all day.",PureWow,2022-11-18T15:56:02Z,4991,76.0,8.0
gaGS4ymKsDM,Is The Tarte Shape Tape Concealer Worth the Hype? (Full Wear Test and Review) | Testing TikTok,tarte #makeup #makeuproutine Tarte Shape Tape Ultra Creamy Concealer: https://bit.ly/3m5xG3u Whether we want to ...,PureWow,2023-04-05T21:00:20Z,16739,99.0,16.0
lrRhqv7lS8E,SALE! TARTE Shape Tape Concealer Swatches #tartecosmetics #concealer #shorts,SALE! TARTE Shape Tape Concealer Swatches Fair skin light skin 12n 16n fair Tarte shape tape soft matte concealer Tarte ...,Jenz BeautyStyle,2025-01-31T23:13:58Z,10151,77.0,0.0
vmorHHsEjOI,🚨Testing the VIRAL Tarte Shape Tape Concealer🚨,,BK Beauty,2024-10-24T17:05:30Z,18866,447.0,11.0
ZNC8XT93rds,THE TRUTH... TARTE SHAPE TAPE FOUNDATION REVIEW,HEY EVERYONE... Today we are discussing the controversial Tarte Cosmetics Shape Tape Foundation. When they showed the ...,jeffreestar,2018-01-18T18:50:14Z,6202215,198704.0,18983.0
061WISdj2y0,how to find your shape tape™ concealer shade,Need help finding your perfect shape tape™ concealer shade? Check out this video with some helpful tips on how to find your ...,tarte cosmetics,2020-04-20T21:48:07Z,326817,1466.0,41.0
hriEtxlWdh0,using tarte shape tape THE RIGHT WAY,,Mina Hasan,2023-03-09T05:00:17Z,197628,2210.0,46.0
O9EDaHQ9gIc,NEW! TARTE SHAPE TAPE RADIANT CONCEALER VS THE OG SHAPE TAPE! (REVIEW &amp; WEAR TEST) IS IT WORTH $31?!,Products Mentioned: OG TARTE SHAPE TAPE https://go.magik.ly/ml/1ug67/ RADIANT TARTE SHAPE TAPE ...,TheMexicanBeauty,2023-06-24T01:08:35Z,13617,204.0,12.0
YqncSmG7zK4,OMG!!! Tarte Shape Tape | Review,"Hi beauties!!! For this week's review, I bring you the new and frequently mentioned tarte Shape Tape :) It has been a product that ...",All Beauty By Sarah,2016-08-05T01:34:56Z,1129355,8877.0,630.0
wPH4VmzhArU,NEW vs OLD Tarte Shape Tape on very dark circles! Ultra Creamy Concealer Comparison,Comparing the new Tarte Shape Tape Ultra Creamy Concealer (12S Fair Sand) against the OG Shape Tape (Light Sand)!,Stef Wu,2021-08-24T14:38:09Z,175015,2778.0,30.0
R7mWT-c3rq4,TARTE SHAPE TAPE ULTRA CREAMY CONCEALER | Dry Skin Review &amp; Wear Test,"Today I'm trying out the Tarte Shape Tape Ultra Creamy Concealer in shade 16N. See how it applies and wears on dry, maturing ...",Geek Out of Water,2021-06-12T01:00:05Z,14319,610.0,95.0
