video_id,title,description,channel,published,views,likes,comments
A50_AmSTdVE,Rihanna’s before &amp; after using THIS foundation is STUNNING 🤩 Fenty’s Soft’Lit Foundation shade 315✨,,Fenty Beauty By Rihanna,2024-08-07T21:49:02Z,4289789,216324,1988
GY90IvsNbvw,TOP 5 FENTY BEAUTY PRODUCTS,MENTIONED Gloss Bomb https://go.magik.ly/ml/1r2wh/ Bright Fix Concealer https://go.magik.ly/ml/1i7ze/ Eaze Drop Skin Tint ...,Morgan Turner,2023-02-14T22:00:07Z,254300,17591,87
Xy4LPjPOQ_w,Invisimatte Instant Blotting + Setting Powder | Fenty Beauty,Our #INVISIMATTE Blotting + Setting Powder is Rihanna's red carpet MUST HAVE in the bag! This now refillable instant ...,Fenty Beauty By Rihanna,2022-08-31T21:30:21Z,83630,1652,45
4OawHDNzZW8,THE LIGHTEST SHADE OF THE NEW FENTY SOFT LIT FOUNDATION #fentybeauty #fentyfoundation #foundation,,Iyana LeShea,2024-05-27T20:28:00Z,4846431,466344,3731
QWwxA2pKJVg,Trying FENTYSKIN + FENTY BEAUTY together😳,,Christxiee,2023-05-30T19:56:51Z,169618,13086,80
-0AT8YwD9Ow,Rihanna servin up the perfect red lip all season long. Traced Out Lip Liner &amp; Icon Velvet in The MVP,,Fenty Beauty By Rihanna,2024-11-27T01:58:32Z,2051602,114973,1213
th-SfqKeOVg,New @fentybeauty blush shade in brown &amp; fair skin ✨color theory✨ @jazlmao,,Monica Ravichandran,2023-08-13T22:20:57Z,2489485,169810,315
tPjEziErRNI,Fall girl lip combo: Espresso Lips ☕️💋 using Fenty Beauty’s VIRAL hot chocolit shade 🤎,,Fenty Beauty By Rihanna,2024-10-21T22:51:06Z,112904,6347,86
01HygSG2EQ8,Fenty Beauty&#39;s Gloss Bomb Stix Review #fentybeauty #makeup,Fenty Beauty's Gloss Bomb Stix: A Must-Have #fentybeauty #makeup #fok.,Lynda Hall,2025-05-27T22:20:53Z,955,4,0
i4fxs5JLBvc,RIHANNA&#39;S SUMMER FENTY FACE MAKEUP TUTORIAL | FENTY BEAUTY,Rihanna shows y'all how to use blush and bronzer with our new CHEEKS OUT Cream Blushes and Cream Bronzers. Get her ...,Fenty Beauty By Rihanna,2020-04-26T19:03:54Z,3298875,123549,3652
